Country,Population_(in_thousands)_total,Population_annual_growth_rate_(%),Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Total_Recovered,Recovered_Percent
Netherlands,16379,0.3,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Netherlands Antilles,12661.46108,1.377245509,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
New Caledonia,12661.46108,1.377245509,61442,1322,35086,25034,1146,28,955,36041,360.41
New Zealand,4140,1,62,0,11,51,0,0,0,11,0.11
Nicaragua,5532,1.3,4548,43,2905,1600,104,2,111,3016,30.16
Niger,13737,3.5,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Nigeria,144720,2.4,82040,1945,26446,53649,1592,13,336,26782,267.82
Niue,2,-2.2,43402,1676,32856,8870,337,5,103,32959,329.59
Norway,4669,0.6,50299,1719,35375,13205,135,2,158,35533,355.33
Oman,2546,1.6,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Pakistan,160943,1.8,45902,2206,25794,17902,1104,19,151,25945,259.45
Palau,20,0.5,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Panama,3288,1.7,1879,5,975,899,58,0,57,1032,10.32
Papua New Guinea,6202,2.2,17,0,15,2,0,0,0,15,0.15
Paraguay,6016,1.9,24,0,22,2,0,0,0,22,0.22
Peru,27589,1.1,52,0,39,13,0,0,0,39,0.39
Philippines,86264,2,699,42,657,0,0,0,0,657,6.57
Portugal,10579,0.5,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Puerto Rico,12661.46108,1.377245509,9764,194,6477,3093,83,3,68,6545,65.45
Qatar,821,3.1,24141,543,0,23598,411,9,0,0,0
Romania,21532,-0.4,114,0,39,75,0,0,0,39,0.39
Rwanda,9464,2.5,50838,27,45692,5119,469,0,171,45863,458.63
Saint Kitts and Nevis,50,1.3,2181,28,1616,537,2,0,39,1655,16.55
Saint Lucia,163,1.1,2087,116,1733,238,5,0,55,1788,17.88
Saint Vincent and the Grenadines,120,0.5,3196,93,1543,1560,18,0,22,1565,15.65
Samoa,185,0.8,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
San Marino,31,1.4,14203,300,13007,896,28,1,102,13109,131.09
Sao Tome and Principe,155,1.6,2305,46,1175,1084,43,1,0,1175,11.75
Senegal,12072,2.5,2805,11,2121,673,23,0,15,2136,21.36
Serbia,9851,-0.1,11424,720,5939,4765,39,3,49,5988,59.88
Seychelles,86,0.7,1483,24,925,534,44,1,35,960,9.6
Sierra Leone,5743,2.8,79395,5700,0,73695,398,3,0,0,0
Singapore,4382,1.3,34477,1978,30900,1599,65,1,200,31100,311
Slovakia,5388,0,674,40,0,634,24,2,0,0,0
Slovenia,2001,0.1,462,7,440,15,4,0,0,440,4.4
Solomon Islands,484,2.4,7235,60,6028,1147,43,1,58,6086,60.86
Somalia,8445,3,509,21,183,305,0,0,0,183,1.83
Sri Lanka,19207,0.5,874,18,607,249,6,0,8,615,6.15
Sudan,37707,2.2,148,8,128,12,1,0,0,128,1.28
Suriname,455,0.6,1455,50,1157,248,3,0,15,1172,11.72
Swaziland,1134,0.8,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Sweden,9078,0.4,16136.09722,869.7361111,7084.340278,8182.020833,179.8680556,3.638888889,107.6666667,7192.006944,71.92006944
Switzerland,7455,0.4,1128,2,986,140,13,0,4,990,9.9
Syria,19408,2.7,67096,1636,37202,28258,835,11,317,37519,375.19
Tajikistan,6640,1.4,301708,45844,1437,254427,688,7,3,1440,14.4
Tanzania,39459,2.5,1202,35,951,216,10,1,3,954,9.54
Timor-Leste,1114,4.3,15988,146,9959,5883,525,4,213,10172,101.72
Togo,6410,2.7,431,0,365,66,11,0,0,365,3.65
Tonga,100,0.5,10621,78,3752,6791,152,2,0,3752,37.52
Trinidad and Tobago,1328,0.4,10,1,8,1,0,0,0,8,0.08
Tunisia,10215,1.1,1691,483,833,375,10,4,36,869,8.69
